File                    DER    JER    B3-Precision    B3-Recall    B3-F1    GKT(ref, sys)    GKT(sys, ref)    H(ref|sys)    H(sys|ref)    MI    NMI
--------------------  -----  -----  --------------  -----------  -------  ---------------  ---------------  ------------  ------------  ----  -----
HECodemixedFemale130  46.12  61.81            0.57         0.73     0.64             0.15             0.14          0.96          0.55  0.16   0.18
HECodemixedFemale131  33.59  48.58            0.59         0.71     0.65             0.31             0.22          0.88          0.60  0.28   0.28
HECodemixedFemale132  14.94  26.66            0.75         0.86     0.80             0.59             0.47          0.66          0.29  0.46   0.50
HECodemixedFemale133  33.72  66.50            0.54         1.00     0.71             1.00             0.00          1.03          0.00  0.00   0.00
HECodemixedFemale134  35.97  65.42            0.53         0.97     0.69             0.03             0.03          1.07          0.09  0.02   0.07
HECodemixedFemale135  34.37  62.41            0.55         0.94     0.69             0.07             0.06          1.01          0.17  0.06   0.11
HECodemixedFemale136  21.97  46.13            0.66         0.88     0.75             0.24             0.21          0.85          0.26  0.16   0.25
HECodemixedFemale137  34.15  53.68            0.57         0.81     0.67             0.20             0.18          0.96          0.40  0.18   0.22
HECodemixedFemale138  24.04  49.94            0.64         0.89     0.74             0.20             0.18          0.86          0.24  0.14   0.23
HECodemixedFemale139  41.56  61.95            0.53         0.85     0.65             0.12             0.11          1.06          0.35  0.11   0.15
HECodemixedFemale140  26.15  62.74            0.61         1.00     0.76             1.00             0.00          0.94          0.00  0.00   0.00
HECodemixedFemale141  36.92  65.55            0.53         0.96     0.68             0.03             0.03          1.06          0.14  0.02   0.05
HECodemixedFemale142  15.86  15.19            0.77         0.94     0.85             0.87             0.61          0.60          0.16  0.78   0.69
HECodemixedFemale143  21.55  43.93            0.66         0.84     0.74             0.24             0.21          0.85          0.37  0.15   0.21
HECodemixedFemale144  25.56  52.19            0.62         0.90     0.74             0.17             0.15          0.90          0.22  0.12   0.20
HECodemixedFemale145  22.82  60.94            0.64         1.00     0.78             1.00             0.00          0.91          0.00  0.00   0.00
HECodemixedFemale146  25.16  48.09            0.65         0.88     0.75             0.48             0.23          0.82          0.25  0.31   0.39
HECodemixedFemale147  40.77  57.20            0.53         0.74     0.62             0.15             0.13          1.07          0.57  0.13   0.14
HECodemixedFemale148  41.03  70.00            0.50         1.00     0.67             1.00             0.00          1.11          0.00  0.00   0.00
HECodemixedFemale149  25.22  46.09            0.63         0.84     0.72             0.27             0.24          0.87          0.33  0.22   0.28
HECodemixedFemale150   6.32   9.37            0.89         0.97     0.93             0.92             0.74          0.30          0.06  0.72   0.81
HECodemixedFemale151  23.72  43.47            0.64         0.80     0.71             0.27             0.23          0.88          0.46  0.20   0.23
HECodemixedFemale152  36.69  56.14            0.53         0.73     0.61             0.14             0.09          1.05          0.61  0.09   0.11
HECodemixedFemale153  36.33  66.60            0.51         1.00     0.68             1.00             0.00          1.19          0.00  0.00   0.00
HECodemixedFemale154   9.31  15.84            0.84         0.95     0.89             0.74             0.52          0.50          0.13  0.40   0.58
HECodemixedFemale155  24.12  49.34            0.63         0.90     0.75             0.21             0.17          0.92          0.21  0.14   0.23
HECodemixedFemale156  11.86  24.75            0.79         0.89     0.84             0.56             0.47          0.60          0.26  0.36   0.47
HECodemixedFemale157  18.36  50.65            0.73         0.88     0.79             0.05             0.04          0.75          0.34  0.03   0.05
HECodemixedFemale158  11.72  42.40            0.80         0.94     0.86             0.28             0.21          0.58          0.13  0.14   0.31
HECodemixedFemale159  23.66  39.03            0.64         0.76     0.70             0.34             0.30          0.86          0.54  0.26   0.27
HECodemixedFemale160  28.41  51.30            0.60         0.85     0.70             0.28             0.16          0.92          0.34  0.19   0.25
HECodemixedFemale161  32.99  58.24            0.56         0.90     0.69             0.12             0.11          1.01          0.23  0.10   0.16
HECodemixedFemale162  20.14  42.55            0.68         0.90     0.78             0.30             0.23          0.84          0.20  0.18   0.30
HECodemixedFemale163  23.12  45.41            0.65         0.86     0.74             0.26             0.23          0.86          0.30  0.19   0.26
HECodemixedFemale164  35.43  48.45            0.55         0.75     0.64             0.27             0.21          1.06          0.51  0.25   0.25
HECodemixedFemale165  35.67  53.91            0.56         0.76     0.65             0.23             0.17          0.95          0.51  0.19   0.21
HECodemixedFemale166  24.66  44.91            0.64         0.83     0.72             0.28             0.25          0.87          0.35  0.21   0.27
HECodemixedFemale167  36.09  59.93            0.55         0.88     0.68             0.12             0.11          0.99          0.28  0.10   0.16
HECodemixedFemale168  34.13  62.91            0.55         0.95     0.69             0.06             0.05          1.04          0.14  0.05   0.10
HECodemixedFemale169  43.78  63.13            0.52         0.80     0.63             0.09             0.08          1.06          0.47  0.08   0.10
HECodemixedFemale170  23.50  45.80            0.65         0.85     0.74             0.26             0.24          0.82          0.30  0.20   0.28
HECodemixedFemale171  53.34  71.33            0.52         0.79     0.62             0.11             0.06          1.08          0.47  0.10   0.12
HECodemixedFemale172  31.13  52.23            0.58         0.84     0.69             0.21             0.18          0.95          0.34  0.18   0.23
HECodemixedFemale173  38.56  64.24            0.52         0.93     0.67             0.07             0.06          1.08          0.18  0.06   0.11
HECodemixedFemale174  32.45  55.34            0.57         0.86     0.69             0.16             0.15          0.96          0.31  0.14   0.20
HECodemixedFemale175  22.92  37.87            0.67         0.78     0.72             0.38             0.35          0.79          0.45  0.34   0.36
HECodemixedFemale176  21.68  50.35            0.66         0.92     0.77             0.17             0.15          0.83          0.18  0.11   0.22
HECodemixedFemale177  35.26  49.03            0.56         0.65     0.60             0.22             0.18          1.04          0.74  0.18   0.17
HECodemixedFemale178  21.64  40.98            0.67         0.84     0.74             0.40             0.30          0.77          0.33  0.31   0.37
HECodemixedFemale179  17.64  33.04            0.72         0.77     0.75             0.38             0.33          0.75          0.54  0.25   0.28
HECodemixedFemale180  34.83  66.47            0.53         1.00     0.69             1.00             0.00          1.12          0.00  0.00   0.00
HECodemixedFemale181   9.34   8.54            0.84         0.96     0.90             0.92             0.73          0.42          0.08  0.92   0.79
HECodemixedFemale182  25.00  61.98            0.62         1.00     0.76             1.00             0.00          0.96          0.00  0.00   0.00
HECodemixedFemale183  12.75  15.33            0.79         0.93     0.85             0.79             0.58          0.60          0.18  0.60   0.62
HECodemixedFemale184  24.46  48.05            0.63         0.86     0.73             0.21             0.19          0.89          0.32  0.15   0.21
HECodemixedFemale185  35.22  60.83            0.54         0.90     0.68             0.10             0.08          1.02          0.24  0.08   0.14
HECodemixedFemale186  30.29  58.33            0.58         0.92     0.71             0.10             0.09          0.98          0.19  0.08   0.14
HECodemixedFemale187  34.92  59.14            0.55         0.88     0.68             0.12             0.11          1.01          0.26  0.10   0.16
HECodemixedFemale188  39.91  62.73            0.50         0.92     0.65             0.09             0.07          1.17          0.21  0.08   0.13
HECodemixedFemale189  36.14  66.67            0.52         1.00     0.68             1.00             0.00          1.18          0.00  0.00   0.00
HECodemixedFemale190  32.50  61.41            0.56         0.94     0.70             0.07             0.07          0.98          0.16  0.06   0.12
HECodemixedFemale191  35.07  51.20            0.58         0.73     0.65             0.29             0.20          0.89          0.56  0.26   0.26
HECodemixedFemale192  24.49  48.62            0.64         0.87     0.74             0.22             0.20          0.86          0.27  0.17   0.25
HECodemixedFemale193   7.05   8.36            0.88         0.97     0.92             0.92             0.74          0.33          0.07  0.80   0.81
HECodemixedFemale194  50.38  73.64            0.45         1.00     0.62             1.00             0.00          1.26          0.00  0.00   0.00
HECodemixedFemale195  28.68  45.69            0.61         0.77     0.68             0.29             0.26          0.89          0.46  0.27   0.29
HECodemixedFemale196  41.51  53.44            0.57         0.72     0.63             0.26             0.20          1.01          0.57  0.25   0.25
HECodemixedFemale197  23.87  48.33            0.63         0.85     0.72             0.17             0.15          0.90          0.37  0.11   0.16
HECodemixedFemale198  52.07  74.00            0.44         1.00     0.61             1.00             0.00          1.30          0.00  0.00   0.00
HECodemixedFemale199  16.30  44.29            0.73         0.92     0.81             0.24             0.21          0.72          0.16  0.14   0.27
HECodemixedFemale200  42.64  53.80            0.52         0.70     0.60             0.34             0.15          1.03          0.63  0.29   0.26
HECodemixedFemale201  36.82  58.91            0.54         0.86     0.67             0.14             0.12          1.03          0.31  0.12   0.17
HECodemixedFemale202   8.75  10.76            0.85         0.97     0.90             0.86             0.57          0.45          0.08  0.48   0.66
HECodemixedFemale203  35.08  57.14            0.55         0.86     0.67             0.15             0.13          1.03          0.30  0.13   0.18
HECodemixedFemale204  29.04  61.90            0.58         0.98     0.73             0.03             0.03          1.02          0.06  0.02   0.07
HECodemixedFemale205  51.40  71.73            0.50         0.91     0.65             0.05             0.04          1.09          0.23  0.05   0.08
HECodemixedFemale206   5.73  13.98            0.89         0.96     0.93             0.75             0.58          0.36          0.09  0.35   0.62
HECodemixedFemale207  36.30  49.71            0.54         0.83     0.66             0.28             0.20          1.11          0.35  0.23   0.26
HECodemixedFemale208  22.73  42.63            0.65         0.83     0.73             0.31             0.27          0.84          0.34  0.25   0.31
HECodemixedFemale209  18.57  31.95            0.70         0.83     0.76             0.46             0.39          0.79          0.39  0.34   0.37
HECodemixedFemale210  33.46  55.71            0.56         0.84     0.67             0.14             0.13          1.01          0.38  0.11   0.15
