File                    DER    JER    B3-Precision    B3-Recall    B3-F1    GKT(ref, sys)    GKT(sys, ref)    H(ref|sys)    H(sys|ref)    MI    NMI
--------------------  -----  -----  --------------  -----------  -------  ---------------  ---------------  ------------  ------------  ----  -----
HECodemixedFemale259  17.09  27.91            0.73         0.80     0.76             0.53             0.48          0.68          0.42  0.47   0.47
HECodemixedFemale260  22.80  37.93            0.66         0.83     0.74             0.40             0.33          0.86          0.33  0.32   0.36
HECodemixedFemale261  20.12  59.83            0.68         1.00     0.81             1.00             0.00          0.82          0.00  0.00   0.00
HECodemixedFemale262  35.63  56.18            0.56         0.83     0.67             0.17             0.15          0.99          0.36  0.15   0.20
HECodemixedFemale263  13.35  25.56            0.77         0.85     0.81             0.57             0.52          0.59          0.32  0.47   0.52
HECodemixedFemale264  17.90  28.73            0.73         0.79     0.76             0.53             0.49          0.64          0.45  0.49   0.47
HECodemixedFemale265  14.81  27.04            0.75         0.85     0.80             0.54             0.46          0.68          0.30  0.41   0.47
HECodemixedFemale266  11.80  24.65            0.80         0.88     0.84             0.57             0.52          0.56          0.25  0.41   0.51
HECodemixedFemale267  19.01  31.39            0.69         0.76     0.72             0.43             0.39          0.79          0.57  0.33   0.33
HECodemixedFemale268  35.33  57.56            0.55         0.86     0.67             0.15             0.13          1.01          0.32  0.13   0.18
HECodemixedFemale269  40.75  60.75            0.54         0.82     0.65             0.14             0.12          1.00          0.39  0.13   0.17
HECodemixedFemale270  23.15  31.73            0.71         0.79     0.74             0.57             0.44          0.71          0.47  0.53   0.47
HECodemixedFemale271  11.38  21.42            0.82         0.84     0.83             0.65             0.58          0.48          0.42  0.51   0.53
HECodemixedFemale272  19.11  30.88            0.71         0.80     0.75             0.50             0.45          0.72          0.40  0.44   0.45
HECodemixedFemale273  28.51  50.15            0.60         0.83     0.69             0.33             0.17          0.92          0.41  0.21   0.25
HECodemixedFemale274  26.02  54.80            0.61         0.89     0.72             0.08             0.06          0.94          0.30  0.05   0.08
HECodemixedFemale275  39.25  55.09            0.56         0.74     0.64             0.20             0.18          0.99          0.54  0.20   0.21
HECodemixedFemale276  15.94  39.33            0.73         0.90     0.81             0.33             0.29          0.69          0.21  0.21   0.34
HECodemixedFemale277  29.07  49.14            0.60         0.84     0.70             0.43             0.21          0.86          0.34  0.30   0.35
HECodemixedFemale278  18.98  44.97            0.69         0.89     0.78             0.29             0.22          0.75          0.23  0.19   0.30
HECodemixedFemale279  12.74  28.72            0.78         0.85     0.82             0.52             0.44          0.59          0.35  0.35   0.43
HECodemixedFemale280   8.92   6.83            0.85         0.99     0.92             0.98             0.73          0.39          0.04  0.88   0.82
HECodemixedFemale281   7.80  14.85            0.86         0.93     0.89             0.81             0.69          0.39          0.20  0.65   0.69
HECodemixedFemale282   6.97  10.83            0.87         0.94     0.91             0.83             0.71          0.40          0.14  0.62   0.70
HECodemixedFemale283  43.83  69.96            0.58         0.79     0.66             0.16             0.04          0.95          0.50  0.11   0.14
HECodemixedFemale284  24.48  42.58            0.64         0.83     0.72             0.38             0.26          0.88          0.34  0.30   0.34
HECodemixedFemale285   8.17  13.13            0.88         0.98     0.93             0.95             0.73          0.29          0.08  0.82   0.82
HECodemixedFemale286  31.34  52.06            0.58         0.83     0.69             0.21             0.19          0.95          0.35  0.18   0.23
HECodemixedFemale287  32.55  65.70            0.55         1.00     0.71             1.00             0.00          1.05          0.00  0.00   0.00
HECodemixedFemale288  12.94  20.78            0.78         0.84     0.81             0.65             0.57          0.61          0.39  0.53   0.52
HECodemixedFemale289  48.98  67.78            0.52         0.85     0.64             0.09             0.08          1.06          0.35  0.09   0.12
HECodemixedFemale290  14.96  25.80            0.75         0.87     0.81             0.58             0.47          0.68          0.28  0.42   0.48
HECodemixedFemale291  31.57  57.92            0.57         0.89     0.70             0.13             0.10          0.97          0.24  0.10   0.17
HECodemixedFemale292  22.06  43.84            0.66         0.85     0.74             0.28             0.25          0.82          0.32  0.20   0.28
HECodemixedFemale293  13.67  13.24            0.79         0.95     0.86             0.89             0.64          0.54          0.14  0.81   0.71
HECodemixedFemale294  13.17  25.66            0.77         0.84     0.81             0.57             0.51          0.60          0.34  0.44   0.49
HECodemixedFemale295  11.54  25.94            0.80         0.93     0.86             0.56             0.40          0.59          0.14  0.29   0.47
HECodemixedFemale296  32.19  65.01            0.55         1.00     0.71             1.00             0.00          1.11          0.00  0.00   0.00
HECodemixedFemale297  29.73  46.28            0.61         0.77     0.68             0.28             0.25          0.91          0.47  0.26   0.28
HECodemixedFemale298  51.45  74.19            0.45         1.00     0.62             1.00             0.00          1.26          0.00  0.00   0.00
HECodemixedFemale299  15.32  30.79            0.74         0.84     0.79             0.48             0.43          0.67          0.34  0.36   0.43
HECodemixedFemale300  29.76  56.98            0.58         0.91     0.71             0.12             0.11          0.98          0.20  0.09   0.16
HECodemixedFemale301   4.35   4.44            0.92         0.98     0.95             0.95             0.82          0.25          0.04  0.80   0.85
HECodemixedFemale302   7.13  10.01            0.87         0.95     0.91             0.85             0.70          0.41          0.14  0.63   0.70
HECodemixedFemale303  26.84  39.71            0.64         0.72     0.68             0.37             0.32          0.86          0.59  0.32   0.31
